City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Maldonado,UY,-34.6667,-54.9167,51.19,92,0,5.41,clear sky
1,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,17.27,broken clouds
2,Litovko,RU,49.2361,135.1742,43.95,39,21,16.46,few clouds
3,Quepos,CR,9.4236,-84.1652,76.46,89,100,0.92,overcast clouds
4,Jamestown,US,42.097,-79.2353,49.64,67,0,10.36,clear sky
5,Rikitea,PF,-23.1203,-134.9692,70.32,61,91,23.91,overcast clouds
6,Mayumba,GA,-3.432,10.6554,75.13,86,100,3.18,light rain
7,Merauke,ID,-8.4667,140.3333,83.34,79,100,14.67,overcast clouds
8,Richards Bay,ZA,-28.783,32.0377,69.71,69,75,9.75,broken clouds
9,Bredasdorp,ZA,-34.5322,20.0403,49.51,78,53,4.79,broken clouds
10,Tessalit,ML,20.1986,1.0114,85.75,20,7,9.51,clear sky
11,Karratha,AU,-20.7377,116.8463,80.35,36,0,14.99,clear sky
12,Malakal,SS,9.5334,31.6605,72.91,92,87,0.13,overcast clouds
13,Lebu,CL,-37.6167,-73.65,47.79,93,14,3.06,few clouds
14,Mataura,NZ,-46.1927,168.8643,40.48,87,98,11.63,overcast clouds
15,Talara,PE,-4.5772,-81.2719,63.3,81,75,16.71,broken clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,55.09,93,0,0.0,clear sky
17,Qaanaaq,GL,77.484,-69.3632,16.63,82,100,5.86,overcast clouds
18,Butaritari,KI,3.0707,172.7902,82.26,72,66,17.92,broken clouds
19,Okha,RU,53.5739,142.9478,37.53,57,97,23.96,light rain
20,Mahebourg,MU,-20.4081,57.7,75.25,68,40,11.5,scattered clouds
21,Jumla,NP,29.2747,82.1838,69.78,53,57,4.47,light rain
22,Cabo San Lucas,MX,22.8909,-109.9124,79.61,77,2,5.08,clear sky
23,Cherskiy,RU,68.75,161.3,28.15,60,11,9.86,few clouds
24,Almaznyy,RU,48.0448,40.045,49.3,66,62,4.59,broken clouds
25,Kruisfontein,ZA,-34.0033,24.7314,53.89,80,9,5.03,clear sky
26,Qostanay,KZ,53.1667,63.5833,43.09,39,0,4.47,clear sky
27,Barrow,US,71.2906,-156.7887,32.02,86,100,6.91,overcast clouds
28,Kaitangata,NZ,-46.2817,169.8464,34.74,82,96,18.92,light snow
29,Klaksvik,FO,62.2266,-6.589,49.12,88,31,33.42,light rain
30,Bay Roberts,CA,47.5999,-53.2648,49.33,86,0,10.71,clear sky
31,Quime,BO,-16.9833,-67.2167,52.77,77,90,1.5,overcast clouds
32,Meulaboh,ID,4.1363,96.1285,74.88,94,100,4.74,overcast clouds
33,Albany,US,42.6001,-73.9662,52.39,82,100,4.92,overcast clouds
34,Port Alfred,ZA,-33.5906,26.891,62.11,79,0,6.8,clear sky
35,Mackay,AU,-21.15,149.2,71.69,61,98,12.75,overcast clouds
36,Esperance,AU,-33.8667,121.9,63.05,76,74,20.58,broken clouds
37,Kapaa,US,22.0752,-159.319,82.38,76,40,13.8,scattered clouds
38,Faanui,PF,-16.4833,-151.75,78.58,70,11,24.27,few clouds
39,Road Town,VG,18.4167,-64.6167,84.29,77,21,20.13,few clouds
40,Nyurba,RU,63.2842,118.3319,30.61,92,100,9.84,light snow
41,Kavieng,PG,-2.5744,150.7967,84.81,65,61,16.02,broken clouds
42,Pangai,TO,-19.8,-174.35,80.71,78,75,6.91,broken clouds
43,Halifax,CA,44.6453,-63.5724,56.21,92,86,3.44,overcast clouds
44,Kurilsk,RU,45.2333,147.8833,51.91,59,82,16.33,broken clouds
45,Ushuaia,AR,-54.8,-68.3,42.46,81,0,6.91,clear sky
46,Georgetown,MY,5.4112,100.3354,84.88,81,20,9.22,few clouds
47,Mount Gambier,AU,-37.8333,140.7667,53.58,97,100,11.81,moderate rain
48,Poya,NC,-21.35,165.15,75.07,55,1,11.27,clear sky
49,Ilulissat,GL,69.2167,-51.1,30.22,55,19,2.3,few clouds
50,Kongolo,CD,-5.3833,27.0,72.86,78,77,1.74,broken clouds
51,Gigmoto,PH,13.7796,124.39,84.0,78,97,5.93,overcast clouds
52,Lagoa,PT,39.05,-27.9833,66.67,83,100,19.62,light rain
53,Lichinga,MZ,-13.3128,35.2406,60.89,63,0,13.0,clear sky
54,Taoudenni,ML,22.6783,-3.9836,90.09,14,0,10.25,clear sky
55,Kingaroy,AU,-26.5333,151.8333,67.8,52,100,10.22,overcast clouds
56,Hithadhoo,MV,-0.6,73.0833,82.58,71,89,17.74,overcast clouds
57,Hermanus,ZA,-34.4187,19.2345,44.8,76,61,5.23,broken clouds
58,Cape Town,ZA,-33.9258,18.4232,58.37,65,0,6.91,clear sky
59,Santa Comba,ES,43.0331,-8.8093,55.54,93,4,3.67,clear sky
60,Avarua,CK,-21.2078,-159.775,75.25,73,40,14.97,scattered clouds
61,Hilo,US,19.7297,-155.09,80.33,80,75,3.44,broken clouds
62,Puerto Ayora,EC,-0.7393,-90.3518,66.54,93,38,5.99,scattered clouds
63,Ribeira Grande,PT,38.5167,-28.7,66.6,82,75,20.71,light rain
64,Marigot,MF,18.0667,-63.0833,82.18,83,20,8.05,few clouds
65,Saint John,CA,45.2727,-66.0677,48.2,100,20,0.0,few clouds
66,Saint-Philippe,RE,-21.3585,55.7679,74.79,69,37,12.35,scattered clouds
67,Clyde River,CA,70.4692,-68.5914,25.03,86,100,19.57,light snow
68,Aquiraz,BR,-3.9014,-38.3911,79.18,80,34,13.04,scattered clouds
69,Saskylakh,RU,71.9167,114.0833,27.0,96,100,9.26,light snow
70,Vilhena,BR,-12.7406,-60.1458,69.46,86,21,3.87,few clouds
71,Karonga,MW,-9.9333,33.9333,76.8,44,62,5.23,broken clouds
72,Casablanca,MA,33.5928,-7.6192,68.22,81,0,5.14,clear sky
73,Saint George,US,37.1041,-113.5841,77.59,28,0,5.75,clear sky
74,Tasiilaq,GL,65.6145,-37.6368,32.16,62,2,6.76,clear sky
75,Bethel,US,41.3712,-73.414,55.76,88,100,11.5,overcast clouds
76,Bilibino,RU,68.0546,166.4372,23.47,73,76,6.38,broken clouds
77,Wanning,CN,18.8003,110.3967,84.51,74,14,12.26,few clouds
78,Kapoeta,SS,4.7717,33.5903,73.22,76,39,2.35,light rain
79,Pingliang,CN,35.5392,106.6861,47.05,91,100,2.44,overcast clouds
80,Ulaanbaatar,MN,47.9077,106.8832,37.53,30,0,2.24,clear sky
81,Guerrero Negro,MX,27.9769,-114.0611,69.67,81,4,11.83,clear sky
82,Upernavik,GL,72.7868,-56.1549,19.56,77,90,5.23,overcast clouds
83,Dikson,RU,73.5069,80.5464,31.86,78,100,15.95,overcast clouds
84,Bayonet Point,US,28.3267,-82.6834,69.75,80,92,12.64,overcast clouds
85,Busselton,AU,-33.65,115.3333,56.73,60,78,19.04,broken clouds
86,Nanortalik,GL,60.1432,-45.2371,38.12,92,100,21.79,light rain
87,Margate,GB,51.3813,1.3862,62.91,78,100,8.01,overcast clouds
88,Kasongo,CD,-4.45,26.6667,70.39,85,96,2.3,overcast clouds
89,Novyy Urengoy,RU,66.0833,76.6333,35.74,90,100,15.46,overcast clouds
90,Tecoanapa,MX,16.5167,-98.75,76.91,86,9,4.54,clear sky
91,Mokhsogollokh,RU,61.4681,128.9203,31.17,56,100,11.68,overcast clouds
92,Thompson,CA,55.7435,-97.8558,41.16,81,75,0.0,broken clouds
93,Panguna,PG,-6.3164,155.4848,77.52,73,95,3.4,light rain
94,Dakar,SN,14.6937,-17.4441,79.68,77,10,12.41,clear sky
95,Fortuna,US,40.5982,-124.1573,58.93,83,67,1.01,broken clouds
96,Nioro,GM,13.35,-15.75,76.42,95,43,5.46,scattered clouds
97,Hasaki,JP,35.7333,140.8333,66.29,88,100,26.37,overcast clouds
98,Nikolskoye,RU,59.7035,30.7861,45.81,97,71,4.09,broken clouds
99,Fort Nelson,CA,58.8053,-122.7002,40.59,81,75,5.75,broken clouds
100,New Norfolk,AU,-42.7826,147.0587,54.91,57,99,1.99,overcast clouds
101,Khatanga,RU,71.9667,102.5,29.41,97,98,6.35,overcast clouds
102,Esmeraldas,BR,-19.7625,-44.3139,67.06,93,99,3.36,overcast clouds
103,Muroto,JP,33.2833,134.15,74.55,73,96,14.5,overcast clouds
104,Gamba,GA,-2.65,10.0,74.88,85,96,4.88,overcast clouds
105,Cap Malheureux,MU,-19.9842,57.6142,75.47,64,77,8.99,broken clouds
106,Pak Phanang,TH,8.3511,100.202,88.03,68,88,7.78,overcast clouds
107,Muros,ES,42.7762,-9.0603,56.08,95,4,5.26,clear sky
108,Boa Vista,BR,2.8197,-60.6733,78.78,73,0,3.44,clear sky
109,Avera,US,33.194,-82.5271,54.91,74,0,5.82,clear sky
110,Warmbad,NA,-28.45,18.7333,58.01,33,1,3.29,clear sky
111,Mitsamiouli,KM,-11.3847,43.2844,75.49,78,75,11.5,broken clouds
112,Ringebu,NO,61.5167,10.1667,48.15,96,100,0.78,overcast clouds
113,Pevek,RU,69.7008,170.3133,27.61,70,67,6.98,broken clouds
114,Bonavista,CA,48.6499,-53.1147,49.26,77,1,18.25,clear sky
115,Montepuez,MZ,-13.1256,38.9997,72.63,66,60,4.14,broken clouds
116,Gazojak,TM,41.1875,61.4036,61.59,20,0,16.6,clear sky
117,Tijara,IN,27.9333,76.85,87.06,56,13,6.02,few clouds
118,High Prairie,CA,55.4334,-116.4858,49.64,49,100,6.17,overcast clouds
119,Magan,ES,39.9683,-3.931,68.52,50,0,5.66,clear sky
120,Bluff,NZ,-46.6,168.3333,40.8,62,96,28.01,overcast clouds
121,Hambantota,LK,6.1241,81.1185,88.14,66,40,13.8,scattered clouds
122,Hobart,AU,-42.8794,147.3294,55.26,59,75,10.36,broken clouds
123,Takoradi,GH,4.8845,-1.7554,74.52,94,68,5.21,broken clouds
124,Bambous Virieux,MU,-20.3428,57.7575,75.22,68,40,11.5,scattered clouds
125,Vaini,TO,-21.2,-175.2,73.56,94,100,8.05,heavy intensity rain
126,Louveira,BR,-23.0864,-46.9506,63.97,94,9,6.31,clear sky
127,Kisangani,CD,0.5167,25.2,70.27,99,100,1.92,light rain
128,Hima,UG,0.2958,30.1804,67.71,88,96,0.87,overcast clouds
129,Alugan,PH,12.2188,125.4808,85.23,70,100,6.93,overcast clouds
130,Lavrentiya,RU,65.5833,-171.0,34.43,77,9,5.21,clear sky
131,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,20,11.5,few clouds
132,Port Elizabeth,ZA,-33.918,25.5701,59.31,86,75,6.91,broken clouds
133,Chokurdakh,RU,70.6333,147.9167,25.09,80,99,5.84,overcast clouds
134,Pleasant Point,NZ,-44.2667,171.1333,42.28,58,93,18.21,overcast clouds
135,Onalaska,US,43.8844,-91.2351,57.25,78,0,4.61,clear sky
136,Yulara,AU,-25.2406,130.9889,83.64,21,0,11.41,clear sky
137,Traverse City,US,44.7631,-85.6206,55.62,74,0,0.0,clear sky
138,Chimbote,PE,-9.0853,-78.5783,60.12,85,59,8.97,broken clouds
139,Viransehir,TR,37.2353,39.7631,78.96,19,69,12.19,broken clouds
140,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,33.38,broken clouds
141,Waddan,LY,29.1614,16.139,65.71,78,0,3.83,clear sky
142,Oriximina,BR,-1.7656,-55.8661,75.76,81,21,3.78,few clouds
143,Tra Vinh,VN,9.9347,106.3453,86.31,70,99,13.53,overcast clouds
144,Jalu,LY,29.0331,21.5482,70.45,59,0,6.04,clear sky
145,Vardo,NO,70.3705,31.1107,42.78,87,75,8.05,broken clouds
146,Bilma,NE,18.6853,12.9164,82.9,21,11,8.01,few clouds
147,Kihurio,TZ,-4.4667,38.0667,70.83,72,70,1.23,broken clouds
148,Seymchan,RU,62.8833,152.4333,22.1,87,100,23.2,light snow
149,East London,ZA,-33.0153,27.9116,61.74,82,0,6.91,clear sky
150,Koupela,BF,12.1794,-0.3517,76.73,83,76,7.07,broken clouds
151,Katsuura,JP,35.1333,140.3,69.58,87,100,22.41,light rain
152,Karjat,IN,18.9167,73.3333,83.41,74,60,3.58,broken clouds
153,San Rafael Del Sur,NI,11.8485,-86.4384,77.97,90,99,4.38,overcast clouds
154,Lovozero,RU,68.005,35.0117,40.39,95,99,3.76,overcast clouds
155,Ostrovnoy,RU,68.0531,39.5131,46.38,91,100,12.66,overcast clouds
156,Nome,US,64.5011,-165.4064,39.27,81,0,12.66,clear sky
157,Namibe,AO,-15.1961,12.1522,64.71,88,80,2.95,broken clouds
158,Aklavik,CA,68.2191,-135.0107,25.77,94,6,6.89,clear sky
159,Padang,ID,-0.9492,100.3543,82.45,84,100,7.05,overcast clouds
160,Shar,KZ,49.5886,81.0453,45.88,33,7,9.42,clear sky
161,Atuona,PF,-9.8,-139.0333,76.86,69,19,21.88,few clouds
162,Teguise,ES,29.0605,-13.564,68.22,83,0,13.8,clear sky
163,Rocha,UY,-34.4833,-54.3333,48.24,91,0,3.91,clear sky
164,Yellowknife,CA,62.456,-114.3525,34.32,64,75,10.36,broken clouds
165,Norman Wells,CA,65.282,-126.8329,39.24,81,100,13.8,overcast clouds
166,Cayenne,GF,4.9333,-52.3333,73.44,94,0,0.0,clear sky
167,Gizo,SB,-8.103,156.8419,85.87,60,99,8.84,overcast clouds
168,Dubbo,AU,-32.25,148.6167,55.53,94,100,14.97,light rain
169,Forrest City,US,35.0081,-90.7898,58.57,37,5,6.69,clear sky
170,Salalah,OM,17.0151,54.0924,78.89,78,75,2.3,broken clouds
171,Hervey Bay,AU,-25.2986,152.8535,74.01,51,100,8.01,overcast clouds
172,Diplo,PK,24.4667,69.584,88.43,47,0,8.32,clear sky
173,Kavaratti,IN,10.5669,72.642,81.46,77,72,13.24,broken clouds
174,Berlevag,NO,70.8578,29.0864,42.75,81,100,6.91,overcast clouds
175,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,3.0,overcast clouds
176,Kitzingen,DE,49.7333,10.1667,49.62,84,53,5.64,broken clouds
177,Serenje,ZM,-13.2325,30.2352,68.31,35,5,6.87,clear sky
178,Dvinskoy,RU,62.1535,45.1175,47.32,89,100,6.31,overcast clouds
179,Codrington,AU,-38.2667,141.9667,52.95,96,100,16.62,light rain
180,Ivdel,RU,60.6911,60.4206,49.6,66,80,2.98,broken clouds
181,Saint Anthony,US,45.0205,-93.218,66.09,62,40,5.75,scattered clouds
182,Clarksburg,US,39.2807,-80.3445,50.45,89,20,0.0,few clouds
183,Araouane,ML,18.9048,-3.5265,89.06,13,1,5.64,clear sky
184,Havelock,US,34.8791,-76.9013,58.95,87,7,5.1,clear sky
185,Irbit,RU,57.6705,63.071,52.18,58,99,5.82,overcast clouds
186,Menongue,AO,-14.6585,17.691,61.2,28,0,4.41,clear sky
187,Chuy,UY,-33.6971,-53.4616,52.77,93,0,4.72,clear sky
188,Cootamundra,AU,-34.65,148.0333,52.95,95,100,20.02,moderate rain
189,Sola,VU,-13.8833,167.55,81.16,77,21,17.27,few clouds
190,Pinega,RU,64.7001,43.3936,43.29,97,80,4.59,broken clouds
