City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Quepos,CR,76.46,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
5,Rikitea,PF,70.32,overcast clouds,-23.1203,-134.9692,People ThankYou
6,Mayumba,GA,75.13,light rain,-3.432,10.6554,LIKWALE LODGE
7,Merauke,ID,83.34,overcast clouds,-8.4667,140.3333,
8,Richards Bay,ZA,69.71,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
10,Tessalit,ML,85.75,clear sky,20.1986,1.0114,
11,Karratha,AU,80.35,clear sky,-20.7377,116.8463,ibis Styles Karratha
12,Malakal,SS,72.91,overcast clouds,9.5334,31.6605,Nile Palace Hotel
15,Talara,PE,63.3,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
18,Butaritari,KI,82.26,broken clouds,3.0707,172.7902,Isles Sunset Lodge
20,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
21,Jumla,NP,69.78,light rain,29.2747,82.1838,Royal Garden Hotel
22,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
32,Meulaboh,ID,74.88,overcast clouds,4.1363,96.1285,Kost Pria
34,Port Alfred,ZA,62.11,clear sky,-33.5906,26.891,The Halyards Hotel
35,Mackay,AU,71.69,overcast clouds,-21.15,149.2,International Lodge Motel
36,Esperance,AU,63.05,broken clouds,-33.8667,121.9,Hospitality Esperance
37,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Faanui,PF,78.58,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
41,Kavieng,PG,84.81,broken clouds,-2.5744,150.7967,Nusa Island Retreat
42,Pangai,TO,80.71,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
46,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
48,Poya,NC,75.07,clear sky,-21.35,165.15,
50,Kongolo,CD,72.86,broken clouds,-5.3833,27.0,GUEST HOUSE OASIS
51,Gigmoto,PH,84.0,overcast clouds,13.7796,124.39,Cj's Travellers Inn
52,Lagoa,PT,66.67,light rain,39.05,-27.9833,Casa Das Faias
53,Lichinga,MZ,60.89,clear sky,-13.3128,35.2406,Residencial Bendiak
55,Kingaroy,AU,67.8,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
56,Hithadhoo,MV,82.58,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
61,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
62,Puerto Ayora,EC,66.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Ribeira Grande,PT,66.6,light rain,38.5167,-28.7,Quinta da Meia Eira
64,Marigot,MF,82.18,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
66,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le four à pain
68,Aquiraz,BR,79.18,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
70,Vilhena,BR,69.46,few clouds,-12.7406,-60.1458,Hotel Mirage
